"year","Bark","Bark ","Brig","Brig ","Brig or Bark ?","SBark","Schr","Ship","Ship ","Sloop","Steam Bark","Steam bark","ship"
"1809",0,0,0,0,0,0,0,1,0,0,0,0,0
"1810",0,0,0,0,0,0,0,2,0,0,0,0,0
"1811",0,0,0,0,0,0,0,1,0,0,0,0,0
"1812",0,0,1,0,0,0,1,0,0,0,0,0,0
"1815",0,0,0,0,0,0,2,1,0,1,0,0,0
"1816",0,0,2,0,0,0,1,0,0,0,0,0,0
"1817",0,0,2,0,0,0,0,2,0,1,0,0,0
"1818",0,0,1,0,0,0,1,7,0,0,0,0,0
"1819",0,0,2,0,0,0,0,4,0,0,0,0,0
"1820",0,0,3,0,0,0,0,3,0,0,0,0,0
"1821",0,0,3,0,0,0,2,6,0,0,0,0,0
"1822",0,0,6,0,0,0,0,3,0,0,0,0,0
"1823",0,0,0,0,0,0,0,3,0,0,0,0,0
"1824",0,0,2,0,0,0,0,3,0,0,0,0,0
"1825",0,0,3,0,0,0,0,8,0,0,0,0,0
"1826",0,0,4,0,0,0,0,7,0,0,0,0,0
"1827",0,0,1,0,0,0,0,9,0,0,0,0,0
"1828",0,0,3,0,0,0,2,11,0,0,0,0,0
"1829",0,0,3,0,0,0,0,5,0,0,0,0,0
"1830",2,0,0,0,0,0,0,8,0,0,0,0,0
"1831",1,0,0,0,0,0,0,12,0,0,0,0,0
"1832",1,0,1,0,0,0,0,8,0,0,0,0,0
"1833",0,0,2,0,0,0,0,7,0,0,0,0,0
"1834",0,0,0,0,0,0,0,9,0,0,0,0,0
"1839",0,0,0,0,0,0,0,2,0,0,0,0,0
"1840",10,0,2,0,0,0,1,11,0,0,0,0,0
"1841",31,0,14,0,0,0,0,59,0,0,0,0,0
"1842",21,0,11,0,0,0,0,58,0,0,0,0,0
"1843",27,0,6,0,0,0,1,49,0,0,0,0,0
"1844",28,0,7,0,0,0,0,74,0,0,0,0,0
"1845",24,0,7,0,0,0,0,59,0,0,0,0,0
"1846",32,0,8,0,0,0,0,57,0,0,0,0,0
"1847",29,0,5,0,0,0,0,67,0,0,0,0,0
"1848",19,0,10,0,0,0,0,72,0,0,0,0,0
"1849",31,0,3,0,0,0,1,45,0,0,0,0,0
"1850",34,0,11,0,0,0,0,75,0,0,0,0,0
"1851",52,0,4,0,1,0,2,122,0,0,0,0,0
"1852",49,0,5,0,0,0,3,50,0,0,0,0,0
"1853",55,0,4,0,0,0,2,80,0,0,0,0,0
"1854",59,0,6,0,0,0,3,75,0,0,0,0,0
"1855",66,1,5,0,0,0,4,65,0,0,0,0,0
"1856",64,0,4,0,0,0,6,56,0,0,0,0,0
"1857",60,0,4,0,0,0,8,67,0,0,0,0,0
"1858",53,0,4,1,0,0,3,36,0,0,0,0,0
"1859",53,1,2,0,0,0,4,39,0,0,0,0,0
"1860",49,0,6,0,0,0,4,33,0,0,0,0,0
"1861",22,1,2,0,0,0,9,10,0,0,0,0,0
"1862",47,0,2,0,0,0,5,21,0,0,0,0,1
"1863",31,0,1,0,0,0,4,16,0,0,0,0,0
"1864",41,1,3,0,0,0,4,18,0,0,0,0,0
"1865",64,5,2,1,0,0,4,20,1,0,0,0,0
"1866",48,0,4,0,0,0,8,14,0,0,0,0,0
"1867",72,2,6,0,0,0,18,14,1,0,0,0,0
"1868",44,0,4,0,0,0,18,5,0,0,0,0,2
"1869",52,0,2,0,0,0,7,3,0,0,0,0,0
"1870",30,1,1,0,0,0,7,5,0,0,0,0,0
"1871",38,0,0,0,0,0,4,6,0,0,0,0,0
"1872",29,0,2,0,0,0,8,3,0,0,0,0,0
"1873",17,0,1,0,0,0,2,1,0,0,0,0,0
"1874",26,0,2,0,0,0,10,3,0,0,0,0,0
"1875",45,1,3,0,0,0,5,3,0,0,0,0,0
"1876",38,0,3,0,0,0,14,3,0,0,0,0,0
"1877",31,2,3,0,0,0,10,1,0,0,0,0,0
"1878",23,0,9,0,0,0,16,2,0,0,0,0,0
"1879",18,0,0,0,0,0,12,2,0,0,1,0,0
"1880",21,0,4,0,0,0,10,1,0,0,0,1,0
"1881",26,0,1,0,0,1,11,3,0,0,2,0,0
"1882",15,2,1,0,0,0,10,2,0,0,0,0,0
"1883",15,0,2,0,0,0,9,1,0,0,0,0,0
"1884",13,0,2,0,0,0,7,0,0,0,0,0,0
"1885",8,0,2,0,0,0,8,1,1,0,0,0,0
"1886",9,0,2,0,0,0,7,3,0,0,0,0,0
"1887",16,0,1,0,0,0,4,0,0,0,0,0,0
"1888",6,0,1,0,0,1,2,0,0,0,0,0,0
"1889",1,0,1,0,0,0,5,0,0,0,0,0,0
"1890",4,0,0,0,0,0,5,0,0,0,0,0,0
"1891",7,0,0,0,0,0,5,1,0,0,0,0,0
"1892",4,0,0,0,0,1,5,1,0,0,0,0,0
"1893",4,0,0,0,0,0,6,0,0,0,0,0,0
"1894",4,0,0,0,0,0,4,0,0,0,0,0,0
"1895",4,0,0,0,0,0,4,0,0,0,0,0,0
"1896",3,0,0,0,0,0,5,0,0,0,0,0,0
"1897",3,0,1,0,0,0,7,0,0,0,0,0,0
"1898",5,0,0,0,0,0,7,0,0,0,0,0,0
"1899",4,0,0,0,0,0,4,0,0,0,0,0,0
"1900",1,0,0,0,0,0,8,0,0,0,0,0,0
"1901",8,0,1,0,0,0,4,0,0,0,0,0,0
"1902",1,0,1,0,0,0,4,0,0,0,0,0,0
"1903",5,0,0,0,0,0,5,0,0,0,0,0,0
"1904",2,0,0,0,0,0,5,0,0,0,0,0,0
"1905",4,0,2,0,0,0,2,0,0,0,0,0,0
"1906",4,0,1,0,0,0,9,0,0,0,0,0,0
"1907",4,0,0,0,0,0,5,0,0,0,0,0,0
"1908",5,0,2,0,0,0,6,0,0,0,0,0,0
"1909",1,0,1,0,0,0,6,0,0,0,0,0,0
"1910",4,0,1,0,0,0,7,0,0,0,0,0,0
"1911",2,0,0,0,0,0,4,0,0,0,0,0,0
"1912",1,0,1,0,0,0,9,0,0,0,0,0,0
"1913",2,0,0,0,0,0,5,0,0,0,0,0,0
"1914",2,0,0,0,0,0,5,0,0,0,0,0,0
"1915",0,0,0,0,0,0,7,0,0,0,0,0,0
"1916",2,0,2,0,0,0,6,0,0,0,0,0,0
"1917",2,0,1,0,0,0,13,0,0,0,0,0,0
"1918",3,0,0,0,0,0,2,0,0,0,0,0,0
"1919",2,0,0,0,0,0,15,0,0,0,0,0,0
"1920",1,0,0,0,0,0,9,0,0,0,0,0,0
"1921",2,0,0,0,0,0,5,0,0,0,0,0,0
"1922",1,0,0,0,0,0,6,0,0,0,0,0,0
"1923",0,0,0,0,0,0,2,0,0,0,0,0,0
"1924",1,0,0,0,0,0,0,0,0,0,0,0,0
"1925",0,0,0,0,0,0,1,0,0,0,0,0,0
"1927",0,0,0,0,0,0,1,0,0,0,0,0,0
